iter	MultiClass
0	1.019530591
1	0.9590942334
2	0.9130171496
3	0.8736702436
4	0.8424414362
5	0.8163137472
6	0.7946679034
7	0.7752317811
8	0.7586923846
9	0.7448085386
10	0.7328934315
11	0.7219322389
12	0.7119965656
13	0.7035446593
14	0.6957506059
15	0.6889992091
16	0.6820704459
17	0.6771207038
18	0.6722548167
19	0.669284375
20	0.6655926299
21	0.6623984299
22	0.6597017639
23	0.6570950104
24	0.653753837
25	0.6518353895
26	0.6485494235
27	0.6456754229
28	0.6431997447
29	0.6414460931
30	0.6387992666
31	0.6372940626
32	0.6355585366
33	0.6343124564
34	0.6330806418
35	0.6318046433
36	0.6303896969
37	0.6292015184
38	0.6272677468
39	0.6260746926
40	0.6242952076
41	0.6230430058
42	0.6212021907
43	0.619934753
44	0.6189079408
45	0.6178801959
46	0.6164546928
47	0.6156534035
48	0.6146026673
49	0.6133421886
50	0.61206429
51	0.6108613725
52	0.6095334428
53	0.6081413309
54	0.6069107143
55	0.6059655858
56	0.6047660912
57	0.6029989773
58	0.6014414745
59	0.6005064251
60	0.5989545329
61	0.5980892415
62	0.5969979662
63	0.5955159006
64	0.5946191935
65	0.5931905537
66	0.5923809805
67	0.5908139839
68	0.5900271336
69	0.5890504125
70	0.5885089817
71	0.5876364997
72	0.586880829
73	0.5861459048
74	0.5846938348
75	0.583725094
76	0.5828421249
77	0.5818924315
78	0.5813502007
79	0.5806511597
80	0.5797582642
81	0.5790950016
82	0.5774495865
83	0.5761767855
84	0.5754551317
85	0.5748523175
86	0.5736730674
87	0.5727609566
88	0.5720474317
89	0.5714732846
90	0.5707652816
91	0.5699077355
92	0.5690658932
93	0.5684503394
94	0.5676460641
95	0.5662960068
96	0.5654396593
97	0.564848778
98	0.5639306123
99	0.563135545
100	0.5621100544
101	0.5614541088
102	0.5608913269
103	0.5603090977
104	0.5597537625
105	0.5588853531
106	0.5580777913
107	0.5573337734
108	0.5562825048
109	0.5554284133
110	0.5547862144
111	0.5542990621
112	0.5533434523
113	0.5527453244
114	0.5515270985
115	0.5507138431
116	0.5502286656
117	0.5496521662
118	0.5492122769
119	0.5480655183
120	0.546719834
121	0.5461727403
122	0.545817619
123	0.5451669182
124	0.5445044803
125	0.5439512377
126	0.5426025469
127	0.5414751506
128	0.541091811
129	0.5399128185
130	0.539221654
131	0.5384036877
132	0.5372499684
133	0.5367213707
134	0.535694494
135	0.5349161658
136	0.5342142404
137	0.5330008292
138	0.5322693015
139	0.531536573
140	0.5304047848
141	0.5294892795
142	0.5291621133
143	0.5286595189
144	0.527639393
145	0.5267884691
146	0.5255845502
147	0.5251189093
148	0.524011093
149	0.5232854459
150	0.5225718846
151	0.5218045324
152	0.5207924491
153	0.5199153279
154	0.5194991009
155	0.5190443384
156	0.5182162417
157	0.5170461609
158	0.5164140639
159	0.5158694396
160	0.5155352219
161	0.5150553983
162	0.5145191115
163	0.5134446503
164	0.5129285714
165	0.5121738596
166	0.5117425002
167	0.5111935591
168	0.5105739359
169	0.5097925511
170	0.5093245054
171	0.5086625415
172	0.5082208508
173	0.5074900168
174	0.5069617496
175	0.5061193424
176	0.5056858056
177	0.5047840402
178	0.5041523328
179	0.503138808
180	0.5025970273
181	0.5014142201
182	0.5005373985
183	0.4997886207
184	0.4992156603
185	0.4986964762
186	0.497843797
187	0.4972147163
188	0.4965315692
189	0.4961078109
190	0.4952776761
191	0.4944662751
192	0.4938671063
193	0.4931194644
194	0.4926099247
195	0.4920672063
196	0.4916369381
197	0.4908692775
198	0.4903444606
199	0.4897837895
200	0.4889255093
201	0.4885721563
202	0.4875005083
203	0.48674001
204	0.4862612495
205	0.4858559351
206	0.4853799665
207	0.4845841875
208	0.4840970162
209	0.4835799624
210	0.4831459429
211	0.4828727151
212	0.482494748
213	0.4818445337
214	0.4815430715
215	0.4806978882
216	0.4798213754
217	0.4793131761
218	0.4782321899
219	0.4778034213
220	0.4768906412
221	0.4761759902
222	0.4757874085
223	0.4753542526
224	0.4749630159
225	0.4743715324
226	0.4737293353
227	0.4733689022
228	0.4726472057
229	0.4719356102
230	0.471610938
231	0.4712096822
232	0.4705759552
233	0.4700498535
234	0.4696858438
235	0.469230471
236	0.468349539
237	0.4678092633
238	0.46732423
239	0.466842875
240	0.4661538018
241	0.4655501163
242	0.4650894097
243	0.4648664124
244	0.4644445117
245	0.4640261018
246	0.4636652965
247	0.463211686
248	0.4628391858
249	0.4621661115
250	0.4615151007
251	0.4605878199
252	0.4602761962
253	0.4597689075
254	0.459375693
255	0.4589579407
256	0.4584004327
257	0.4580227564
258	0.4573687417
259	0.45668579
260	0.4564333916
261	0.4558546205
262	0.4553303691
263	0.4547948982
264	0.4543875055
265	0.4540405055
266	0.4535727936
267	0.4529016384
268	0.452075611
269	0.4516293068
270	0.4513179142
271	0.4508922205
272	0.4504483658
273	0.4501640421
274	0.4495613142
275	0.4491839458
276	0.448828773
277	0.4483520106
278	0.4480275218
279	0.4472581341
280	0.4468643954
