iter	Passed	Remaining
0	157	44114
1	313	43671
2	468	43442
3	628	43499
4	776	42849
5	936	42940
6	1091	42723
7	1251	42708
8	1412	42692
9	1576	42712
10	1731	42498
11	2074	46508
12	2226	45900
13	2389	45578
14	2553	45289
15	2725	45146
16	2897	44992
17	3081	45027
18	3251	44833
19	3403	44417
20	3590	44447
21	3769	44381
22	3986	44714
23	4175	44715
24	4352	44569
25	4525	44380
26	4726	44461
27	4908	44354
28	5088	44213
29	5266	44066
30	5444	43906
31	5621	43746
32	5797	43571
33	5964	43332
34	6132	43105
35	6287	42792
36	6457	42582
37	6613	42293
38	6775	42042
39	6939	41812
40	7120	41681
41	7271	41381
42	7415	41046
43	7568	40765
44	7718	40477
45	7868	40195
46	8013	39895
47	8159	39608
48	8300	39302
49	8452	39049
50	8600	38785
51	8755	38557
52	8902	38299
53	9041	38005
54	9190	37764
55	9338	37519
56	9482	37266
57	9642	37075
58	9807	36903
59	9968	36716
60	10130	36537
61	10289	36344
62	10444	36141
63	10795	36604
64	10958	36415
65	11117	36216
66	11301	36096
67	11509	36051
68	11668	35852
69	11820	35630
70	11968	35399
71	12128	35204
72	12282	34995
73	12435	34786
74	12595	34594
75	12750	34392
76	12899	34175
77	13060	33991
78	13237	33848
79	13413	33701
80	13569	33503
81	13758	33389
82	13913	33192
83	14072	33002
84	14237	32829
85	14397	32644
86	14571	32492
87	14743	32334
88	14907	32160
89	15079	32002
90	15240	31821
91	15392	31621
92	15547	31429
93	15717	31266
94	15853	31039
95	16010	30854
96	16165	30664
97	16331	30496
98	16491	30317
99	16649	30136
100	16793	29928
101	16947	29740
102	17105	29560
103	17272	29395
104	17436	29227
105	17589	29039
106	17747	28860
107	17912	28693
108	18069	28512
109	18232	28343
110	18382	28153
111	18529	27959
112	18714	27823
113	18877	27653
114	19038	27482
115	19210	27324
116	19360	27137
117	19510	26950
118	19683	26796
119	19837	26615
120	19998	26444
121	20236	26374
122	20496	26328
123	20661	26160
124	20832	25998
125	20993	25824
126	21140	25635
127	21299	25459
128	21451	25275
129	21608	25098
130	21760	24917
131	21909	24730
132	22089	24580
133	22284	24446
134	22436	24264
135	22598	24093
136	22774	23938
137	22948	23779
138	23115	23614
139	23303	23469
140	23468	23301
141	23630	23131
142	23791	22959
143	23944	22780
144	24118	22621
145	24278	22449
146	24462	22299
147	24610	22116
148	24772	21946
149	24938	21779
150	25102	21611
151	25291	21464
152	25452	21293
153	25604	21115
154	25756	20937
155	25907	20759
156	26071	20591
157	26236	20424
158	26400	20256
159	26556	20083
160	26709	19907
161	26869	19737
162	27025	19564
163	27186	19395
164	27355	19231
165	27508	19057
166	27654	18878
167	27820	18712
168	27976	18540
169	28211	18420
170	28487	18325
171	28639	18149
172	28807	17983
173	28969	17814
174	29118	17637
175	29280	17468
176	29440	17298
177	29606	17131
178	29765	16961
179	29974	16818
180	30137	16650
181	30293	16478
182	30444	16303
183	30601	16132
184	30772	15968
185	30935	15800
186	31099	15632
187	31257	15462
188	31407	15288
189	31579	15124
190	31741	14956
191	31882	14778
192	32036	14607
193	32210	14445
194	32384	14282
195	32544	14113
196	32695	13941
197	32857	13773
198	33023	13607
199	33197	13444
200	33368	13280
201	33539	13116
202	33716	12955
203	33876	12786
204	34035	12617
205	34204	12452
206	34373	12288
207	34542	12123
208	34720	11961
209	34893	11797
210	35097	11643
211	35428	11531
212	35601	11365
213	35773	11200
214	35929	11029
215	36079	10857
216	36237	10687
217	36401	10519
218	36555	10348
219	36701	10176
220	36859	10007
221	37019	9838
222	37172	9668
223	37333	9499
224	37486	9329
225	37636	9159
226	37804	8993
227	37967	8825
228	38130	8658
229	38296	8491
230	38450	8322
231	38593	8151
232	38770	7987
233	38931	7819
234	39095	7652
235	39250	7484
236	39408	7316
237	39567	7148
238	39731	6982
239	39900	6816
240	40057	6648
241	40216	6481
242	40381	6314
243	40539	6147
244	40700	5980
245	40868	5814
246	41025	5647
247	41178	5479
248	41491	5332
249	41687	5169
250	41843	5001
251	42002	4833
252	42161	4666
253	42330	4499
254	42494	4332
255	42653	4165
256	42805	3997
257	42971	3830
258	43130	3663
259	43299	3497
260	43442	3328
261	43591	3161
262	43752	2994
263	43924	2828
264	44101	2662
265	44281	2497
266	44448	2330
267	44606	2163
268	44799	1998
269	44975	1832
270	45149	1666
271	45301	1498
272	45448	1331
273	45592	1164
274	45760	998
275	45927	832
276	46088	665
277	46243	499
278	46411	332
279	46576	166
280	46741	0
